00000, 北京, , 海航移动
00001, 北京, , U友(爱施德)
00002, 北京, , 海航移动
00003, 北京, , 联想懂的
00004, 北京, , 星美通信
00005, 上海, , U友(爱施德)
00006, 上海, , 网信移动
00007, 上海, , 网信移动
00008, 上海, , U友(爱施德)
00009, 上海, , 联想懂的
00010, 北京, , 小米移动
00011, 北京, , 联想懂的
00012, 北京, , 星美通信
00013, 北京, , 网信移动
00014, 广东, 广州, U友(爱施德)
00015, 广东, 广州, U友(爱施德)
00016, 广东, 广州, 联想懂的
00017, 广东, 广州, 星美通信
00018, 广东, 深圳, 星美通信
00019, 广东, 深圳, 网信移动
00020, 广东, 广州, 联想懂的
00021, 广东, 广州, 小米移动
00022, 广东, 广州, 小米移动
00023, 福建, 福州, 小米移动
00024, 福建, 泉州, 小米移动
00025, 福建, 厦门, 小米移动
00026, 四川, 成都, 小米移动
00027, 湖北, 武汉, 小米移动
00028, 湖南, 长沙, 小米移动
00029, 陕西, 西安, 星美通信
00030, 山东, 青岛, 电信
00031, 山东, 青岛, 电信
00032, 山东, 青岛, 电信
00033, 山东, 青岛, 电信
00034, 天津, , 电信
00035, 山东, 济南, 电信
00036, 山东, 青岛, 电信
00037, 山东, 烟台, 电信
00038, 山东, 济宁, 电信
00039, 山东, 临沂, 电信
00040, 河南, 郑州, 电信
00041, 河南, 洛阳, 电信
00042, 辽宁, 沈阳, 电信
00043, 辽宁, 大连, 电信
00044, 河北, 邯郸, 电信
00045, 河北, 保定, 电信
00046, 河北, 唐山, 电信
00047, 河北, 石家庄, 电信
00048, 山西, 太原, 电信
00049, 吉林, 长春, 电信
00050, 黑龙江, 哈尔滨, 电信
00092, 北京, 北京, 电信
00100, 北京, , 乐语通信
00101, 北京, , 迪信通
00102, 北京, , U友(爱施德)
00103, 北京, , 苏宁互联
00104, 北京, , 电信
00105, 北京, , 极信通信(国美)
00106, 北京, , 极信通信(国美)
00107, 北京, , 电信
00108, 北京, , 电信
00109, 北京, , 用友通信
00110, 北京, , 阿里通信
00111, 北京, , 苏宁互联
00112, 北京, , 京东通信
00113, 北京, , 天音通信
00114, 北京, , 电信
00115, 北京, , 天音通信
00116, 北京, , 用友通信
00117, 北京, , 乐语通信
00118, 北京, , 阿里通信
00119, 北京, , 三五互联
00120, 北京, , 分享通信
00121, 北京, , 分享通信
00122, 北京, , 苏宁互联
00123, 北京, , 迪信通
00124, 北京, , 电信
00125, 北京, , 电信
00126, 北京, , 京东通信
00127, 北京, , 阿里通信
00128, 北京, , 苏宁互联
00129, 北京, , 星美通信
00130, 安徽, 合肥, 星美通信
00131, 山西, 太原, 苏宁互联
00132, 湖北, 武汉, 星美通信
00133, 广东, 深圳, 星美通信
00134, 天津, , 海航移动
00135, 天津, , 海航移动
00136, 海南, 海口, 海航移动
00137, 重庆, , 电信
00138, 四川, 成都, 电信
00139, 四川, 成都, 电信
00140, 江苏, 淮安, 电信
00141, 江苏, 盐城, 阿里通信
00142, 江苏, 盐城, 阿里通信
00143, 江苏, 徐州, 天音通信
00144, 江苏, 扬州, 电信
00145, 江苏, 扬州, 电信
00146, 江苏, 南通, 用友通信
00147, 江苏, 南通, 极信通信(国美)
00148, 江苏, 无锡, 苏宁互联
00149, 江苏, 常州, 极信通信(国美)
00150, 江苏, 常州, 苏宁互联
00151, 江苏, 无锡, 阿里通信
00152, 江苏, 无锡, 天音通信
00153, 江苏, 无锡, 三五互联
00154, 江苏, 无锡, 京东通信
00155, 江苏, 苏州, 苏宁互联
00156, 江苏, 苏州, 极信通信(国美)
00157, 江苏, 苏州, 三五互联
00158, 江苏, 南京, 苏宁互联
00159, 江苏, 南通, 乐语通信
00160, 上海, , 苏宁互联
00161, 上海, , 极信通信(国美)
00162, 上海, , 乐语通信
00163, 上海, , 天音通信
00164, 上海, , 京东通信
00165, 上海, , U友(爱施德)
00166, 上海, , 电信
00167, 上海, , 用友通信
00168, 上海, , 三五互联
00169, 上海, , 天音通信
00170, 上海, , 苏宁互联
00171, 上海, , 电信
00172, 上海, , 电信
00173, 上海, , 电信
